Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1996-11-01,283.0,295.0,283.0,285.0,291.08928571429,5600.0,5.0,1630100.0,,,12.0,2.0
1996-11-06,280.0,280.0,280.0,280.0,280.0,100.0,1.0,28000.0,,,0.0,0.0
1996-11-21,282.5,286.0,282.5,286.0,290.85582822086,32600.0,7.0,9481900.0,,,3.5,3.5
1996-12-04,265.0,265.0,265.0,265.0,262.75449101796,50100.0,2.0,13164000.0,,,0.0,0.0
1996-12-05,260.0,260.0,260.0,260.0,260.0,100.0,1.0,26000.0,,,0.0,0.0
1996-12-06,263.0,269.5,263.0,265.0,266.83333333333,4500.0,5.0,1200750.0,,,6.5,2.0
1996-12-10,285.0,285.0,273.0,273.0,277.66666666667,300.0,3.0,83300.0,,,12.0,-12.0
1996-12-12,275.0,275.0,275.0,275.0,275.0,100.0,1.0,27500.0,,,0.0,0.0
1996-12-13,270.0,273.75,270.0,273.75,272.9296875,3200.0,3.0,873375.0,,,3.75,3.75
1996-12-16,275.0,280.0,274.0,277.0,276.51666666667,1500.0,9.0,414775.0,,,6.0,2.0
1996-12-20,287.5,298.0,287.5,298.0,292.07789855072,13800.0,5.0,4030675.0,,,10.5,10.5
1996-12-23,298.0,298.0,298.0,298.0,298.0,100.0,1.0,29800.0,,,0.0,0.0
1997-01-10,308.0,309.75,307.0,307.25,313.08315789474,13300.0,11.0,4164006.0,,,2.75,-0.75
1997-01-13,308.5,310.0,308.5,309.0,309.98542746114,77200.0,16.0,23930875.0,,,1.5,0.5
1997-01-14,306.0,312.0,306.0,312.0,309.25,800.0,7.0,247400.0,,,6.0,6.0
1997-01-15,314.0,343.0,314.0,343.0,342.4431455898,94100.0,30.0,32223900.0,,,29.0,29.0
1997-01-16,358.0,366.0,344.0,350.0,352.39483394834,81300.0,50.0,28649700.0,,,22.0,-8.0
1997-01-17,340.0,354.75,340.0,346.25,355.6498015873,75600.0,29.0,26887125.0,,,14.75,6.25
1997-01-21,360.0,360.0,352.5,354.75,359.96195652174,105800.0,9.0,38083975.0,,,7.5,-5.25
1997-01-28,385.0,392.0,378.0,381.0,380.79861796644,101300.0,24.0,38574900.0,,,14.0,-4.0
1997-01-30,363.25,372.0,363.25,370.0,371.86111111111,44100.0,9.0,16399075.0,,,8.75,6.75
1997-01-31,357.0,361.5,345.25,353.5,352.40909090909,2200.0,14.0,775300.0,,,16.25,-3.5
1997-02-07,350.0,351.75,350.0,351.0,349.34433962264,10600.0,6.0,3703050.0,,,1.75,1.0
1997-02-13,375.0,382.5,373.0,382.0,379.35306807287,417200.0,50.0,158266100.0,,,9.5,7.0
1997-02-14,377.25,386.0,377.25,385.75,384.84973900075,134100.0,63.0,51608350.0,,,8.75,8.5
1997-02-20,384.0,384.0,381.0,381.25,381.7,500.0,4.0,190850.0,,,3.0,-2.75
1997-02-26,358.0,358.0,356.0,358.0,357.99180327869,24400.0,5.0,8735000.0,,,2.0,0.0
1997-02-27,361.25,365.0,361.25,365.0,363.2,500.0,3.0,181600.0,,,3.75,3.75
1997-02-28,364.0,367.25,362.75,367.25,364.43439716312,14100.0,13.0,5138525.0,,,4.5,3.25
1997-03-01,392.0,405.0,385.0,385.0,393.828125,12800.0,41.0,5041000.0,,,20.0,-7.0
1997-03-03,393.0,410.0,393.0,404.5,399.73664122137,52400.0,98.0,20946200.0,,,17.0,11.5
1997-03-04,397.0,402.0,395.0,397.75,399.80882352941,3400.0,21.0,1359350.0,,,7.0,0.75
1997-03-05,404.0,404.0,394.0,402.0,398.805,5000.0,25.0,1994025.0,,,10.0,-2.0
1997-03-12,365.0,373.0,365.0,367.0,371.69444444444,1800.0,8.0,669050.0,,,8.0,2.0
1997-03-13,372.0,377.0,369.0,377.0,374.62080536913,29800.0,13.0,11163700.0,,,8.0,5.0
